127.0.0.1 - - [28/Jul/2023:10:05:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:05:48 +0900] "GET /JspProj/calc/student.jsp HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:05:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:05:55 +0900] "GET /JspProj/calc/studentProcess.jsp?std=a&kor=83&eng=64&math=65&std=b&kor=52&eng=41&math=7&std=c&kor=44&eng=37&math=100&std=d&kor=96&eng=40&math=9&std=e&kor=21&eng=98&math=4 HTTP/1.1" 500 2768
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:18 +0900] "GET /JspProj/calc/studentProcess.jsp?std=a&kor=83&eng=64&math=65&std=b&kor=52&eng=41&math=7&std=c&kor=44&eng=37&math=100&std=d&kor=96&eng=40&math=9&std=e&kor=21&eng=98&math=4 HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:32 +0900] "GET /JspProj/calc/studentProcess.jsp?std=a&kor=83&eng=64&math=65&std=b&kor=52&eng=41&math=7&std=c&kor=44&eng=37&math=100&std=d&kor=96&eng=40&math=9&std=e&kor=21&eng=98&math=4 HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:32 +0900] "GET /JspProj/calc/studentProcess.jsp?std=a&kor=83&eng=64&math=65&std=b&kor=52&eng=41&math=7&std=c&kor=44&eng=37&math=100&std=d&kor=96&eng=40&math=9&std=e&kor=21&eng=98&math=4 HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:32 +0900] "GET /JspProj/calc/studentProcess.jsp?std=a&kor=83&eng=64&math=65&std=b&kor=52&eng=41&math=7&std=c&kor=44&eng=37&math=100&std=d&kor=96&eng=40&math=9&std=e&kor=21&eng=98&math=4 HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:33 +0900] "GET /JspProj/calc/studentProcess.jsp?std=a&kor=83&eng=64&math=65&std=b&kor=52&eng=41&math=7&std=c&kor=44&eng=37&math=100&std=d&kor=96&eng=40&math=9&std=e&kor=21&eng=98&math=4 HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:36 +0900] "GET /JspProj/calc/student.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:06:42 +0900] "GET /JspProj/calc/studentProcess.jsp?std=ab&kor=17&eng=47&math=50&std=bc&kor=10&eng=69&math=11&std=de&kor=31&eng=78&math=43&std=fd&kor=98&eng=84&math=62&std=ge&kor=60&eng=100&math=9 HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:07:30 +0900] "GET /JspProj/calc/studentProcess.jsp?std=ab&kor=17&eng=47&math=50&std=bc&kor=10&eng=69&math=11&std=de&kor=31&eng=78&math=43&std=fd&kor=98&eng=84&math=62&std=ge&kor=60&eng=100&math=9 HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:07:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:07:32 +0900] "GET /JspProj/calc/student.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:07:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:07:38 +0900] "GET /JspProj/calc/studentProcess.jsp?std=a&kor=72&eng=22&math=58&std=b&kor=76&eng=94&math=46&std=c&kor=54&eng=94&math=79&std=d&kor=73&eng=46&math=67&std=e&kor=95&eng=77&math=54 HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [28/Jul/2023:10:08:10 +0900] "GET /JspProj/calc/studentProcess.jsp?std=a&kor=72&eng=22&math=58&std=b&kor=76&eng=94&math=46&std=c&kor=54&eng=94&math=79&std=d&kor=73&eng=46&math=67&std=e&kor=95&eng=77&math=54 HTTP/1.1" 200 1629
